"geoid","calls"
"17031010100",2
"17031010201",4
"17031010202",0
"17031010300",7
"17031010400",2
"17031010501",2
"17031010502",1
"17031010503",0
"17031010600",4
"17031010701",15
"17031010702",1
"17031020100",5
"17031020200",11
"17031020301",9
"17031020302",3
"17031020400",11
"17031020500",5
"17031020601",5
"17031020602",6
"17031020701",6
"17031020702",4
"17031020801",4
"17031020802",22
"17031020901",3
"17031020902",1
"17031030101",0
"17031030102",3
"17031030103",0
"17031030104",0
"17031030200",6
"17031030300",4
"17031030400",7
"17031030500",4
"17031030601",1
"17031030603",0
"17031030604",4
"17031030701",0
"17031030702",0
"17031030703",0
"17031030706",1
"17031030800",4
"17031030900",1
"17031031000",1
"17031031100",2
"17031031200",0
"17031031300",1
"17031031400",1
"17031031501",0
"17031031502",1
"17031031700",3
"17031031800",1
"17031031900",0
"17031032100",1
"17031040100",5
"17031040201",4
"17031040202",1
"17031040300",13
"17031040401",0
"17031040402",2
"17031040600",0
"17031040700",0
"17031040800",1
"17031040900",1
"17031050100",1
"17031050200",4
"17031050300",2
"17031050500",6
"17031050600",1
"17031050700",2
"17031050800",3
"17031050900",1
"17031051000",1
"17031051100",2
"17031051200",6
"17031051300",2
"17031051400",2
"17031060100",1
"17031060200",2
"17031060300",2
"17031060400",1
"17031060500",0
"17031060800",0
"17031060900",2
"17031061000",1
"17031061100",0
"17031061200",2
"17031061500",1
"17031061800",0
"17031061901",2
"17031061902",0
"17031062000",1
"17031062100",2
"17031062200",3
"17031062300",1
"17031062400",2
"17031062500",1
"17031062600",2
"17031062700",0
"17031062800",3
"17031062900",0
"17031063000",1
"17031063100",0
"17031063200",0
"17031063301",0
"17031063302",0
"17031063303",0
"17031063400",0
"17031070101",0
"17031070102",0
"17031070103",0
"17031070200",8
"17031070300",2
"17031070400",1
"17031070500",1
"17031070600",1
"17031070700",0
"17031071000",3
"17031071100",0
"17031071200",2
"17031071300",1
"17031071400",1
"17031071500",1
"17031071600",0
"17031071700",0
"17031071800",4
"17031080100",0
"17031080201",0
"17031080202",0
