geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031010100,4972,1475,2241,78,942,358,2698,373,5068,2328,5068,611,5068,68,4934,3982,2241,399
14000US17031010201,7309,2419,2573,86,1443,582,3822,382,7316,3399,7316,1811,7316,117,7140,5896,2573,750
14000US17031010202,2334,681,1085,87,558,244,1368,178,2583,832,2583,649,2583,14,2517,2036,1085,226
14000US17031010300,5292,1342,2709,73,971,207,3292,344,6065,1606,6065,922,6065,63,5969,4335,2709,956
14000US17031010400,3439,702,1856,48,589,89,2776,339,4694,682,4694,515,4694,32,4582,2970,1856,647
14000US17031010501,3807,831,2246,51,534,209,2585,227,3816,1120,3816,159,3816,88,3769,2969,2246,467
14000US17031010502,3683,1620,1666,80,502,75,2277,206,3760,584,3760,584,3760,20,3746,2393,1666,349
14000US17031010503,2215,844,1150,83,273,35,1293,59,2325,226,2325,342,2325,36,2325,1445,1150,230
14000US17031010600,6862,1566,3135,191,1432,551,4187,493,6946,2515,6946,1723,6946,61,6848,5352,3135,751
14000US17031010701,3929,267,1555,34,940,155,2424,251,3943,684,3943,1766,3943,24,3898,3460,1555,760
14000US17031010702,5509,1844,1844,116,959,173,3131,289,5520,1192,5520,2838,5520,35,5407,4615,1844,597
14000US17031020100,4182,1278,1453,64,897,187,1909,215,4182,1549,4182,447,4182,60,4151,3621,1453,818
14000US17031020200,6534,883,1935,96,1629,254,3176,186,6556,387,6556,426,6556,196,6517,6311,1935,1606
14000US17031020301,5233,333,1933,15,1195,187,1948,171,5233,268,5233,632,5233,102,5164,4635,1933,1399
14000US17031020302,4198,617,1585,9,954,170,2416,305,4514,525,4514,706,4514,21,4425,4014,1585,871
14000US17031020400,4367,444,1705,52,991,186,2507,268,4380,693,4380,1045,4380,12,4360,3743,1705,784
14000US17031020500,5805,1274,2103,166,1228,362,2632,221,6044,1241,6044,1913,6044,31,5989,5232,2103,619
14000US17031020601,6569,1435,1784,123,1307,141,2862,292,6595,416,6595,1246,6595,76,6492,5303,1784,741
14000US17031020602,3924,1000,1377,43,878,157,1955,221,3932,393,3932,1214,3932,80,3862,3214,1377,494
14000US17031020701,1920,487,638,11,524,99,1012,87,1920,149,1920,268,1920,9,1908,1771,638,421
14000US17031020702,7897,1543,2385,45,1621,316,3659,348,8010,123,8010,1121,8010,226,7887,7081,2385,1091
14000US17031020801,4797,1194,1946,97,1278,260,2835,405,4797,67,4797,1848,4797,75,4715,3931,1946,731
14000US17031020802,7245,2264,1995,71,1372,283,3209,197,7251,351,7251,1179,7251,43,7062,6115,1995,727
14000US17031020901,5363,1521,1808,95,1060,213,2863,393,5363,807,5363,1454,5363,47,5262,3531,1808,640
14000US17031020902,4272,777,1522,74,873,106,2153,254,4528,841,4528,495,4528,46,4449,4137,1522,921
14000US17031030101,3855,861,2327,187,861,129,2381,253,3855,751,3855,843,3855,34,3848,3161,2327,803
14000US17031030102,3058,592,1917,52,507,115,2144,317,3101,615,3101,551,3101,34,3065,2594,1917,802
14000US17031030103,1765,423,1132,0,273,0,1300,129,2138,293,2138,357,2138,21,2138,1455,1132,262
14000US17031030104,1972,728,1209,12,205,0,1579,218,3536,586,3536,297,3536,63,3536,1971,1209,355
14000US17031030200,5703,528,2466,18,1146,164,3764,362,5709,484,5709,798,5709,89,5552,4749,2466,1177
14000US17031030300,2931,671,1373,55,514,114,1689,128,2931,379,2931,1210,2931,38,2883,2626,1373,504
14000US17031030400,2589,535,1245,143,580,169,1568,233,2589,279,2589,725,2589,94,2525,2239,1245,481
