ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21678,HX534807,12/08/2014 05:33:00 PM,009XX N CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1112,011,27,23,01A,1152170,1905994,2014,12/15/2014 12:58:02 PM,41.897915707,-87.716541243,"(41.897915707, -87.716541243)"
21677,HX531671,12/05/2014 07:50:00 PM,012XX W ALBION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2432,024,40,1,01A,1166450,1944177,2014,12/12/2014 12:38:27 PM,42.002397863,-87.662995384,"(42.002397863, -87.662995384)"
21676,HX531429,12/05/2014 05:45:00 PM,035XX E 107TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0432,004,10,52,01A,1201336,1834574,2014,12/12/2014 12:38:27 PM,41.700824505,-87.538388907,"(41.700824505, -87.538388907)"
21675,HX530828,12/05/2014 12:25:00 PM,074XX S EUCLID AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,8,43,01A,1190544,1855822,2014,12/12/2014 12:38:27 PM,41.759397667,-87.577221148,"(41.759397667, -87.577221148)"
21674,HX529287,12/03/2014 10:10:00 PM,006XX N MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1511,015,29,25,01A,1137000,1903497,2014,12/10/2014 12:42:02 PM,41.891349379,-87.772319895,"(41.891349379, -87.772319895)"
21667,HX525267,11/30/2014 05:23:00 PM,072XX S VINCENNES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0731,007,6,69,01A,1176410,1856968,2014,12/07/2014 12:49:14 PM,41.762871648,-87.628987018,"(41.762871648, -87.628987018)"
21666,HX523369,11/29/2014 03:43:00 PM,0000X E GRAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,true,1834,018,42,8,01A,1176870,1903880,2014,12/06/2014 12:46:38 PM,41.891591674,-87.625885187,"(41.891591674, -87.625885187)"
21665,HX523490,11/29/2014 01:40:00 AM,036XX W 25TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1013,010,22,30,01A,1152582,1887116,2014,12/06/2014 12:46:38 PM,41.846104266,-87.71552705,"(41.846104266, -87.71552705)"
21664,HX523337,11/28/2014 07:57:00 PM,090XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2221,022,21,73,01A,1167637,1844525,2014,12/05/2014 12:46:44 PM,41.728918929,-87.661497605,"(41.728918929, -87.661497605)"
21663,HX523081,11/28/2014 04:59:00 PM,031XX W 64TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,008,15,66,01A,1156435,1861981,2014,12/05/2014 12:46:44 PM,41.777053586,-87.702064313,"(41.777053586, -87.702064313)"
21662,HX520703,11/26/2014 11:01:00 PM,021XX W GARFIELD BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0932,009,16,61,01A,1162852,1868198,2014,12/03/2014 12:41:59 PM,41.793982181,-87.678365985,"(41.793982181, -87.678365985)"
21660,HX515852,11/22/2014 02:51:00 AM,080XX S FAIRFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0835,008,18,70,01A,1159484,1851113,2014,11/29/2014 12:42:24 PM,41.747168206,-87.691184085,"(41.747168206, -87.691184085)"
21659,HX515741,11/22/2014 12:08:00 AM,002XX N MASON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1512,015,29,25,01A,1136765,1901228,2014,11/29/2014 12:42:24 PM,41.88512716,-87.773237344,"(41.88512716, -87.773237344)"
21656,HX512941,11/19/2014 06:50:00 PM,068XX S LOOMIS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0724,007,17,67,01A,1168225,1859083,2014,11/26/2014 12:41:51 PM,41.768855481,-87.65892562,"(41.768855481, -87.65892562)"
21655,HX512476,11/19/2014 12:59:00 PM,007XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1121,011,27,23,01A,1152865,1905045,2014,11/26/2014 12:41:51 PM,41.895297819,-87.714013721,"(41.895297819, -87.714013721)"
21654,HX511003,11/18/2014 08:58:00 AM,007XX N SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1121,011,27,23,01A,1154208,1904539,2014,11/25/2014 12:39:44 PM,41.893882599,-87.709094711,"(41.893882599, -87.709094711)"
21653,HX510898,11/18/2014 12:27:00 AM,075XX S UNION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0621,006,17,68,01A,1172893,1855111,2014,11/25/2014 12:39:44 PM,41.757854114,-87.641932077,"(41.757854114, -87.641932077)"
21650,HX509343,11/16/2014 05:20:00 PM,116XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,005,34,53,01A,1170383,1827466,2014,11/23/2014 12:37:01 PM,41.682047134,-87.65193282,"(41.682047134, -87.65193282)"
21649,HX508727,11/16/2014 03:54:00 AM,008XX S OAKLEY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1225,012,25,28,01A,1161142,1896287,2014,11/23/2014 12:37:01 PM,41.871097127,-87.683857737,"(41.871097127, -87.683857737)"
21648,HX508720,11/16/2014 03:53:00 AM,004XX W EVERGREEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1821,018,27,8,01A,1173040,1909320,2014,11/23/2014 12:37:01 PM,41.906605126,-87.639789367,"(41.906605126, -87.639789367)"
21647,HX508361,11/16/2014 01:03:00 AM,037XX W POTOMAC AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2535,025,26,23,01A,1151386,1908361,2014,11/23/2014 12:37:01 PM,41.904426417,-87.719358597,"(41.904426417, -87.719358597)"
21646,HX508033,11/15/2014 03:02:00 PM,009XX N HAMLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1112,011,27,23,01A,1150919,1906081,2014,11/22/2014 12:39:04 PM,41.898179031,-87.721133795,"(41.898179031, -87.721133795)"
21645,HX505590,11/13/2014 02:45:00 PM,057XX S PRINCETON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0711,007,20,68,01A,1175235,1866606,2014,11/20/2014 12:39:55 PM,41.789345705,-87.633005899,"(41.789345705, -87.633005899)"
21652,HX498075,11/11/2014 06:55:00 PM,023XX W 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0923,009,16,63,01A,1161352,1870832,2014,11/18/2014 12:38:30 PM,41.801241444,-87.683793443,"(41.801241444, -87.683793443)"
21640,HX501421,11/11/2014 04:22:00 PM,054XX N EAST RIVER RD,0110,HOMICIDE,FIRST DEGREE MURDER,DRIVEWAY,false,false,1614,016,41,76,01A,1116672,1934828,2014,11/18/2014 12:38:30 PM,41.977666497,-87.846323236,"(41.977666497, -87.846323236)"
21639,HX501911,11/10/2014 12:44:00 PM,024XX W HARRISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1135,011,2,28,01A,1160019,1897329,2014,11/17/2014 12:40:31 PM,41.873979716,-87.68795192,"(41.873979716, -87.68795192)"
21637,HX501411,11/10/2014 02:35:00 AM,021XX N MERRIMAC AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2512,025,29,19,01A,1134355,1913646,2014,12/04/2014 12:43:35 PM,41.919246563,-87.781794247,"(41.919246563, -87.781794247)"
21635,HX500117,11/09/2014 03:27:00 PM,016XX N TRIPP AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,2534,025,30,23,01A,1147761,1910635,2014,11/16/2014 12:36:29 PM,41.910736928,-87.732615835,"(41.910736928, -87.732615835)"
21636,HX500921,11/09/2014 02:19:00 PM,028XX N LOTUS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,DRIVEWAY,false,false,2514,025,31,19,01A,1139508,1918476,2014,11/16/2014 12:36:29 PM,41.932408101,-87.762743098,"(41.932408101, -87.762743098)"
21633,HX500434,11/09/2014 03:31:00 AM,008XX N ORLEANS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1823,018,27,8,01A,1173799,1906302,2014,11/16/2014 12:36:29 PM,41.898306704,-87.63709126,"(41.898306704, -87.63709126)"
21632,HX499994,11/08/2014 05:08:00 PM,008XX E 87TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,8,44,01A,1183187,1847098,2014,11/15/2014 12:38:17 PM,41.735632362,-87.604454845,"(41.735632362, -87.604454845)"
21631,HX499081,11/08/2014 12:41:00 AM,104XX S BENSLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0434,004,10,51,01A,1194563,1836477,2014,11/15/2014 12:38:17 PM,41.70621541,-87.563126357,"(41.70621541, -87.563126357)"
21634,HX499040,11/07/2014 09:12:00 PM,065XX N SEELEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,2412,024,50,2,01A,1161407,1943278,2014,11/14/2014 12:42:07 PM,42.000037823,-87.681573248,"(42.000037823, -87.681573248)"
21629,HX497952,11/07/2014 01:28:00 AM,073XX S BLACKSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0324,003,5,43,01A,1187438,1856520,2014,11/14/2014 12:42:07 PM,41.761387393,-87.58858223,"(41.761387393, -87.58858223)"
21628,HX496739,11/06/2014 03:27:00 AM,079XX S ESSEX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0422,004,7,46,01A,1194190,1853007,2014,11/13/2014 12:42:15 PM,41.751584373,-87.563951183,"(41.751584373, -87.563951183)"
