geoid,canopy_coverage,total_tract_area,percent_covered
17031842400,258061.835597804,1968638.51236195,0.1310864509
17031840300,96069.0294976181,831224.980184005,0.1155752435
17031841100,62149.7974182639,1143245.11582779,0.0543626179
17031841200,38738.1394133734,625405.761899461,0.0619408099
17031838200,131302.622225727,1157564.1241332,0.1134301068
17031650301,98499.1729790373,985552.903752801,0.09994306
17031530503,388189.159927198,1637979.82066799,0.2369926388
17031760803,282227.219468831,760358.34408511,0.3711765928
17031540102,699059.467747927,5296524.95491122,0.1319845509
17031540101,1165067.86210429,3866268.05944943,0.3013417187
17031440201,73650.5558110531,531537.292516793,0.1385614083
17031839000,65009.8442604026,516456.185824103,0.125876785
17031030601,18722.1281073798,252835.84556148,0.0740485514
17031030604,24519.4623200473,283748.158026455,0.086412763
17031020801,130615.700311218,655950.329653341,0.1991243764
17031843300,68064.1879276606,584251.074477731,0.1164981819
17031080202,27071.3695605985,155329.115084685,0.1742839361
17031070102,14966.4920482046,124701.601398278,0.1200184431
17031031501,16713.2937901578,160448.032886765,0.1041663989
17031031502,17680.7419999373,161701.954338552,0.109341548
17031834900,170356.010354773,652720.213113975,0.260993925
17031834800,120092.462767384,600481.95450529,0.1999934584
17031160502,65978.4829947785,310885.010649422,0.2122279323
17031140702,89999.1434847141,427093.25203083,0.2107248079
17031842000,104460.605995978,589976.019583123,0.1770590711
17031150402,110579.982136968,662510.819246719,0.1669104548
17031834400,92798.1975958119,585569.016802376,0.1584752522
17031040201,122805.713797157,721411.078475986,0.1702298696
17031040202,104073.350790383,588656.068889484,0.1767982295
17031020702,148796.914004966,786874.622120978,0.1890986312
17031020802,135030.243864364,644014.919247951,0.2096694344
17031020301,176548.052278596,825541.798598525,0.2138571936
17031838700,83776.1232209388,658084.93467131,0.1273029039
17031841500,59514.6253065392,432306.397773815,0.137667695
17031838600,41018.1458424616,246252.589857039,0.1665693988
17031837300,48350.4859037389,368499.172574486,0.1312092116
17031837800,60842.6859602635,1005500.7044971,0.0605098392
17031837400,43608.6943162866,591450.089919972,0.0737318246
17031836900,10758.2212467523,164714.78735449,0.0653142406
17031020601,136314.29532013,591326.135875715,0.2305230347
17031020602,112879.408176296,492025.092827132,0.2294179907
17031020302,164155.359545665,639919.319312813,0.2565250878
17031020902,94750.0197524387,503213.414289803,0.1882899324
17031010701,189322.195750601,429679.714505379,0.4406123663
17031030103,11367.2915061357,187915.802680397,0.0604914081
17031030102,7918.5577777708,200460.008516028,0.0395019328
17031010502,44809.1239153363,180366.684441842,0.2484334846
17031010503,41626.1395376192,194274.92905684,0.2142640831
17031010702,61809.7425192295,357548.48938376,0.1728709374
17031837100,58832.7090578581,745297.731434223,0.0789385323
17031837000,50573.4396382495,412544.934157829,0.1225889241
17031010201,143648.478797768,504471.130753208,0.2847506429
17031020901,68610.0631393227,486915.238928545,0.1409076111
17031040401,90497.4370292593,385796.624151094,0.2345729106
17031210602,38845.8519630595,380700.720493787,0.1020377684
17031160501,69261.0962908451,345246.424817331,0.2006135077
